timestamp,"rule.level","rule.description","full_log"
"Apr 6, 2020 @ 13:34:12.332",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits' checksum changed.
Old md5sum was: 'eb0cf951f9de7afccabaea6b60c0dbdf'
New md5sum is : '3c1f1f29b15b6f4d446adbaa7478227e'
Old sha1sum was: '88ef24bc6d4f6900ac8e7ced4ee9d1e398b2fee7'
New sha1sum is : 'd8b476899b5b713c7be8d3ca5bd35f82ec170237'
"
"Apr 6, 2020 @ 13:34:12.316",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' checksum changed.
Old md5sum was: '4062f37ccf7d56610f362ada03708d00'
New md5sum is : '15547e4fb85460cc47771d918274be6c'
Old sha1sum was: 'f6dd2487084220312ab754081fd9377caef7cb48'
New sha1sum is : '74202fd66188b6ca0549f7734ff08185aa74db9e'
"
"Apr 6, 2020 @ 13:33:16.213",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: 'a22f75cfaec4ad1b3c6df4a877bca015'
New md5sum is : 'ca4d63b3a13c78c0aea16486c81158e5'
Old sha1sum was: 'c661a399d9af12513997815526adef9491bd9698'
New sha1sum is : '7409f0ebded1a5d782ee4fe089e06a887046f653'
"
"Apr 6, 2020 @ 13:31:59.525",7,"Integrity checksum changed.","File 'c:\windows\system32\drivers\etc\hosts' checksum changed.
Size changed from '824' to '2103'
Old md5sum was: '3688374325b992def12793500307566d'
New md5sum is : 'a4eca8014112a13122660b77e6f9eca2'
Old sha1sum was: '4bed0823746a2a8577ab08ac8711b79770e48274'
New sha1sum is : '07cce3458b422d02db7ad9cfbe227369ab2aa072'
Old sha256sum was: '2d6bdfb341be3a6234b24742377f93aa7c7cfb0d9fd64efa9282c87852e57085'
New sha256sum is : 'd311a04d648b6a745f75a8d55d063343bbb8758dfcf0affe1dda9b7617dd4bc6'
Old modification time was: 'Tue Mar 19 04:49:40 2019', now it is 'Sat Apr  4 15:55:41 2020'
"
"Apr 6, 2020 @ 13:31:59.424",7,"Integrity checksum changed.","File 'c:\windows\sysnative\drivers\etc\hosts' checksum changed.
Size changed from '824' to '2103'
Old md5sum was: '3688374325b992def12793500307566d'
New md5sum is : 'a4eca8014112a13122660b77e6f9eca2'
Old sha1sum was: '4bed0823746a2a8577ab08ac8711b79770e48274'
New sha1sum is : '07cce3458b422d02db7ad9cfbe227369ab2aa072'
Old sha256sum was: '2d6bdfb341be3a6234b24742377f93aa7c7cfb0d9fd64efa9282c87852e57085'
New sha256sum is : 'd311a04d648b6a745f75a8d55d063343bbb8758dfcf0affe1dda9b7617dd4bc6'
Old modification time was: 'Tue Mar 19 04:49:40 2019', now it is 'Sat Apr  4 15:55:41 2020'
"
"Apr 6, 2020 @ 13:31:47.355",5,"SCA summary: Benchmark for Windows audit: Score less than 80% (68)",
"Apr 6, 2020 @ 13:31:43.946",5,"Benchmark for Windows audit: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled': Status changed from failed to 'not applicable'",
"Apr 6, 2020 @ 13:30:47.605",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '93c2f688a68bea92ca0316b543b731f9'
New md5sum is : 'b7473c84bd0bad1488a5c2c9e3e6f10e'
Old sha1sum was: '562310fa74b7d8dc4147b75600dba6658f8f1bc8'
New sha1sum is : '384fc31f48a5bdda9486f16da196a6ca2e287525'
"
"Apr 6, 2020 @ 13:30:47.590",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: 'a0df8d6e879d924da3288b2aa0b85114'
New md5sum is : 'fa3b7adf38200ede47c4808154156712'
Old sha1sum was: '5b3369bb152c26552a26be399f0ea043686a36fe'
New sha1sum is : 'ce3b1ac12870460a712aea1c917e619ec24be518'
"
"Apr 6, 2020 @ 13:30:43.965",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_2e21c' was added.
"
"Apr 6, 2020 @ 13:30:43.949",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_2e21c\Security' was added.
"
