timestamp,"rule.level","rule.description","full_log"
"Apr 4, 2020 @ 16:16:38.695",9,"Benchmark for Windows audit: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled': Status changed from 'not applicable' to failed",
"Apr 4, 2020 @ 16:12:27.693",8,"Windows Audit Policy changed",
"Apr 4, 2020 @ 16:12:27.709",8,"Windows Audit Policy changed",
"Apr 4, 2020 @ 16:12:00.191",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\umbus\Parameters\Wdf' checksum changed.
Old md5sum was: '7f7895b6541198159e50203364165ec9'
New md5sum is : '67c10bdce559c177fe0d89a2be194410'
Old sha1sum was: '7a8c02e89ba494c6cf5eca3c6098625f21e80c37'
New sha1sum is : '4bac1afb15742d4fecc03d097a595ea33eed5376'
"
"Apr 4, 2020 @ 16:12:01.348",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\USBHUB3\Parameters\Wdf' checksum changed.
Old md5sum was: '0b1bbc23c8320ebaa46b388a8da7c6a9'
New md5sum is : '342765c52f3fd7b50e5188adb30a0ede'
Old sha1sum was: '4966aaba620e10c35307a3970fa16720b5b3ee41'
New sha1sum is : '6d803f7cc7de0ae861402e45b8a1442595a4b544'
"
"Apr 4, 2020 @ 16:12:01.519",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\USBXHCI\Parameters\Wdf' checksum changed.
Old md5sum was: '3f249139b0d337814b631741efaf7513'
New md5sum is : 'f6949813e6b9d992278b95b7f209e047'
Old sha1sum was: 'ca9d4b294b5958cd508120069d9948cb69c6e833'
New sha1sum is : '8db1fc943f83c30b4bc07f1ed394492c392e7722'
"
"Apr 4, 2020 @ 16:12:04.504",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\vdrvroot\Parameters\Wdf' checksum changed.
Old md5sum was: '66b96bd81f9950113fd4425704f7bda3'
New md5sum is : 'b132e65b4963a54ebee91bcab8914621'
Old sha1sum was: '1e83204dc583496e67da65894044bdf1ca0303b1'
New sha1sum is : '744e1fde2f3ae486cbff69a205e315e1c2f088e3'
"
"Apr 4, 2020 @ 16:12:05.198",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Vid\Parameters\Wdf' checksum changed.
Old md5sum was: '7f7895b6541198159e50203364165ec9'
New md5sum is : '67c10bdce559c177fe0d89a2be194410'
Old sha1sum was: '7a8c02e89ba494c6cf5eca3c6098625f21e80c37'
New sha1sum is : '4bac1afb15742d4fecc03d097a595ea33eed5376'
"
"Apr 4, 2020 @ 16:12:06.442",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\VSS\Diag\VolSnap' checksum changed.
Old md5sum was: 'a57532e14922dfab247f58c904256054'
New md5sum is : 'a6934418b12b085c34f2dbaa9e9fa7a0'
Old sha1sum was: '73e81b85db6c7311ac6d78473421beead8c2fa85'
New sha1sum is : 'd9336cc746599b17846d9aa0e03da9cf70d1f3b7'
"
"Apr 4, 2020 @ 16:12:07.254",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' checksum changed.
Old md5sum was: '32f49dc9c0bd631f1041000cd529ee12'
New md5sum is : '619d435b1dac461a9b0cfd3b48ee8f37'
Old sha1sum was: '35d438babd0c920262e2ceb9dd730890a06d7f1f'
New sha1sum is : '95d0826303f42e23fada9a211bd9ea71de2d5c51'
"
