timestamp,"rule.level","rule.description","full_log"
"Apr 4, 2020 @ 14:54:49.932",3,"Service startup type was changed",
"Apr 4, 2020 @ 14:53:40.040",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '5695135f1e3e443110a19087874cd50b'
New md5sum is : '39fa8d517b6e993129cb1768e34e286b'
Old sha1sum was: '1bb9b229f52d7794cdc2af9e0ddd088c35f0f43b'
New sha1sum is : 'd04aaebc7b10b3efc225f513253c8d8a0a4b69b2'
"
"Apr 4, 2020 @ 14:53:40.009",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: 'fed2b06cbd07fe85425f98eb7f3d3216'
New md5sum is : '5c846d33afca4692d83a3ab365ad6442'
Old sha1sum was: 'f940226ddc3f6eb8eb086a431f6a56b8f2b955d2'
New sha1sum is : '084d92d987ccfb645a193f074fd7a6b45d5fd358'
"
"Apr 4, 2020 @ 14:53:38.650",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System' checksum changed.
Old md5sum was: '401e534489c4201969c73e3417a991dd'
New md5sum is : 'c8ac4b841c008e3ac0a8a192544d37c5'
Old sha1sum was: 'e32cf50732d765aaecb1f3cf7b634619089e4aaa'
New sha1sum is : 'e0866d0f9ff0c9fa64a69a11948050e82fbb6b83'
"
"Apr 4, 2020 @ 14:53:37.947",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System' checksum changed.
Old md5sum was: '401e534489c4201969c73e3417a991dd'
New md5sum is : 'c8ac4b841c008e3ac0a8a192544d37c5'
Old sha1sum was: 'e32cf50732d765aaecb1f3cf7b634619089e4aaa'
New sha1sum is : 'e0866d0f9ff0c9fa64a69a11948050e82fbb6b83'
"
"Apr 4, 2020 @ 14:53:36.446",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_2a06c' was added.
"
"Apr 4, 2020 @ 14:53:36.431",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_2a06c\Security' was added.
"
"Apr 4, 2020 @ 14:53:27.280",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits' checksum changed.
Old md5sum was: 'b7ec5bb81f333ea85396b0877ce994bf'
New md5sum is : '91ea775bba23dd9cceea947be23278d7'
Old sha1sum was: '287349b3de03079e399dece2ffa8aaec1820117b'
New sha1sum is : 'e9082bc8c1dfe0b8116a7ee67589dc469a8c5010'
"
"Apr 4, 2020 @ 14:53:27.265",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' checksum changed.
Old md5sum was: '1fc4b44bbc6d9c106ac0a4752d93e35e'
New md5sum is : '1b10e1576592aeeae76e193943cd085c'
Old sha1sum was: 'd6ef55e2e093129301c899b328d315bfac96c7ee'
New sha1sum is : 'a6d019de337f5367f57b5bcd76850390daa35c1c'
"
"Apr 4, 2020 @ 14:53:26.479",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\VSS\Diag\VolSnap' checksum changed.
Old md5sum was: 'e568d386d27113eb1ba52bfb132bb787'
New md5sum is : '57f8b6b5db75343af171f0dc0bacde47'
Old sha1sum was: 'a28c9a87bd38a849dd4a592671950344f9551692'
New sha1sum is : '157cf70bc23044f99a540eb0baef93821371fa62'
"
"Apr 4, 2020 @ 14:53:25.118",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Vid\Parameters\Wdf' checksum changed.
Old md5sum was: 'c24356a255f876bd6fccfcb32936aae9'
New md5sum is : '61ab47c110186181be5841f0689573b8'
Old sha1sum was: 'bbde208ff893d96d36d0af5f942c549646a33ded'
New sha1sum is : '84a0f5edd7ca01077ce40b0b34caf30a5c540757'
"
"Apr 4, 2020 @ 14:53:24.853",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\vdrvroot\Parameters\Wdf' checksum changed.
Old md5sum was: 'f11cbdccb5777fd847f978820b366ff8'
New md5sum is : 'c32dbb6e4a029edba187f66eac6c1771'
Old sha1sum was: '51b54373018e415c4da2fd612ecf45ba322d2873'
New sha1sum is : '1b63705b0d28aa7de76ce2d2119384141a028dda'
"
"Apr 4, 2020 @ 14:53:24.275",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_2a06c' was added.
"
"Apr 4, 2020 @ 14:53:24.248",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_2a06c\Security' was added.
"
"Apr 4, 2020 @ 14:53:24.072",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\USBXHCI\Parameters\Wdf' checksum changed.
Old md5sum was: '50992766142f23c322b3c8834e7fe949'
New md5sum is : 'de248ef71f0126e55ddff7772849bfa0'
Old sha1sum was: '90ccc9868e860e19d9c2a434a79aabacf4de45c2'
New sha1sum is : 'a4cf18306b521d7187328ff01821349e7e257550'
"
"Apr 4, 2020 @ 14:53:23.837",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\USBHUB3\Parameters\Wdf' checksum changed.
Old md5sum was: 'd27458f33cbff01c47ffde09dbc053f1'
New md5sum is : '080661a6d8f55396459d821708e47f0d'
Old sha1sum was: '02a003fd0ed73b38768c7e5710bf909d35b5838a'
New sha1sum is : '4903700cc0ab8761b803864ec3e77436515ad056'
"
"Apr 4, 2020 @ 14:53:23.348",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_2a06c' was added.
"
"Apr 4, 2020 @ 14:53:23.308",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_2a06c\Security' was added.
"
"Apr 4, 2020 @ 14:53:22.681",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\umbus\Parameters\Wdf' checksum changed.
Old md5sum was: 'bfaa185ae33cb6476403d7acf06a7c9d'
New md5sum is : '61ab47c110186181be5841f0689573b8'
Old sha1sum was: 'be8c3559f5d0a63e3b035c71193591f824e4b369'
New sha1sum is : '84a0f5edd7ca01077ce40b0b34caf30a5c540757'
"
"Apr 4, 2020 @ 14:53:20.446",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\{10cb9356-9dd8-4d03-959f-611e879a11a6}' checksum changed.
Old md5sum was: '9fc65fde0729dc43624c26720f88c410'
New md5sum is : '7bd9eb19c00055c3058e080d4f64f21b'
Old sha1sum was: '360f3fe841b4713603e18ee79890382e35160dd3'
New sha1sum is : '25ef63b1a2030e73ec882e5936b4ad7c09810c9d'
"
"Apr 4, 2020 @ 14:53:16.275",3,"Software Protection service scheduled successfully",
"Apr 4, 2020 @ 14:53:15.307",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\RestrictedServices\AppIso\FirewallRules' checksum changed.
Old md5sum was: '4578ec56ccbb4264af718516ba89e48b'
New md5sum is : '06e6f475b1bd4f2c80027ef9d0a66d54'
Old sha1sum was: '9b534a06cbc8893f49a0a1f5f38d9e02792565b0'
New sha1sum is : '97ffaccc0569ace218f7b51c65a680af50f328f3'
"
"Apr 4, 2020 @ 14:53:14.853",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules' checksum changed.
Old md5sum was: 'f4f4f95950e3c8f54a99c57e96ab2edb'
New md5sum is : 'aa60931ec92fca97978531f0dad7b0dd'
Old sha1sum was: 'c2a79a64bbeb6f5db068f732ac71e9fcc1893c13'
New sha1sum is : 'd4a922889d4722b5a792d685e5645b3da2e7c2d0'
"
"Apr 4, 2020 @ 14:53:14.806",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Epoch2' checksum changed.
Old md5sum was: '671078222c6f28f8a987ef233af7d5a5'
New md5sum is : 'dc9f9e3fba782230828c1350ebdd6327'
Old sha1sum was: 'c62d69328b5a046dd8494e6a38df8074f8310102'
New sha1sum is : 'df82c4e7b328c25ab2a829fbb36079904d347a00'
"
"Apr 4, 2020 @ 14:53:06.463",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PrintWorkflowUserSvc_2a06c' was added.
"
"Apr 4, 2020 @ 14:53:06.446",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PrintWorkflowUserSvc_2a06c\Security' was added.
"
