timestamp,"rule.level","rule.description","full_log"
"Apr 4, 2020 @ 16:41:48.310",9,"Benchmark for Windows audit: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled': Status changed from 'not applicable' to failed",
"Apr 4, 2020 @ 16:35:11.398",8,"Windows Audit Policy changed",
"Apr 4, 2020 @ 16:35:11.414",8,"Windows Audit Policy changed",
"Apr 4, 2020 @ 16:35:03.940",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: '66412b599c9052ba1a1c9e08b7abbe7c'
New md5sum is : 'a0df8d6e879d924da3288b2aa0b85114'
Old sha1sum was: '9268e8b2e326583f233d96d8b6fe32e48969274e'
New sha1sum is : '5b3369bb152c26552a26be399f0ea043686a36fe'
"
"Apr 4, 2020 @ 16:35:03.941",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '78e6332dc13f45b431b234040dc6c45a'
New md5sum is : '93c2f688a68bea92ca0316b543b731f9'
Old sha1sum was: 'c71a1f75575f97e8ce9571f3ba2fd1e8c4b53f28'
New sha1sum is : '562310fa74b7d8dc4147b75600dba6658f8f1bc8'
"
"Apr 4, 2020 @ 16:37:36.180",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: 'c07851f8f2e30eb65757347b948170ba'
New md5sum is : 'f82e4dca8fa64fec2f300e13070576d2'
Old sha1sum was: '8b3f116aaee6cbd1dd5d8bf234c4f02b0a5c3e60'
New sha1sum is : '6cb808077186c7f926dd8620d24565a1c25f2bed'
"
"Apr 4, 2020 @ 16:38:21.302",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Epoch' checksum changed.
Old md5sum was: '0a11a072fc5a95522aa8ca6087115073'
New md5sum is : '728627011eedd28411cf4e1f2a30d1ca'
Old sha1sum was: '7afc9a8039fc019833a674d4b24d2aac0c3bec0f'
New sha1sum is : '26576187b3bbee39309e7ebe95de85749ea7b9d2'
"
"Apr 4, 2020 @ 16:38:21.349",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules' checksum changed.
Old md5sum was: '561278354652120b9564b6a611e33cac'
New md5sum is : '8705f3ab5cf990d6c1ef6bc5b2096f58'
Old sha1sum was: 'ba6bcd0d6357a824c6429cdda85f72e1a281f021'
New sha1sum is : '7d0d0c4a70679750982381e5e9cbe9653ac96737'
"
"Apr 4, 2020 @ 16:38:22.396",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\RestrictedServices\AppIso\FirewallRules' checksum changed.
Old md5sum was: '4f0b888d9ae2fb8def9aa6fc72cca859'
New md5sum is : '34c422579604f111c84b176ad275c071'
Old sha1sum was: '5f4b058d671d22b61f253bbdb36509e37217ce71'
New sha1sum is : '6e28feeda1028114fd693466085935d9e610cfb9'
"
"Apr 4, 2020 @ 16:38:34.100",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' checksum changed.
Old md5sum was: '619d435b1dac461a9b0cfd3b48ee8f37'
New md5sum is : '3bed6b4b8101da842bb6afe04a8271c2'
Old sha1sum was: '95d0826303f42e23fada9a211bd9ea71de2d5c51'
New sha1sum is : '6bcfa900864cb27898f9c3bf26b53fb3b0eb9d2c'
"
"Apr 4, 2020 @ 16:38:34.130",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits' checksum changed.
Old md5sum was: 'f65ebed619edcfc8fafe21f958215b53'
New md5sum is : '98f645d827b038bfbb3a44a8c17a66ff'
Old sha1sum was: '493297f96d762981a98fbe5f8c5b5782c30b65aa'
New sha1sum is : '2d81f3892a302534ce0115f4db0ffd4ae3651431'
"
"Apr 4, 2020 @ 16:40:27.202",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer\ActiveX Compatibility' checksum changed.
Old md5sum was: '44a185f2e5e0fa09edbcbe3e598fe4da'
New md5sum is : 'd41d8cd98f00b204e9800998ecf8427e'
Old sha1sum was: 'f7a3cf6aa04ebaeee3c4525064299cb2136e4f06'
New sha1sum is : 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
"
"Apr 4, 2020 @ 16:40:27.217",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer' checksum changed.
Old md5sum was: '497a8c7081c737f07c267a30b1538ff9'
New md5sum is : 'd41d8cd98f00b204e9800998ecf8427e'
Old sha1sum was: '58d9cdbd07af978efc5e91b8e7a66696280d3b1e'
New sha1sum is : 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
"
"Apr 4, 2020 @ 16:41:41.622",7,"SessionEnv was unavailable to handle a critical notification event",
"Apr 4, 2020 @ 16:42:31.556",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer\ActiveX Compatibility' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '44a185f2e5e0fa09edbcbe3e598fe4da'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : 'f7a3cf6aa04ebaeee3c4525064299cb2136e4f06'
"
"Apr 4, 2020 @ 16:42:42.165",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\Software\Microsoft\Internet Explorer' checksum changed.
Old md5sum was: 'd41d8cd98f00b204e9800998ecf8427e'
New md5sum is : '497a8c7081c737f07c267a30b1538ff9'
Old sha1sum was: 'da39a3ee5e6b4b0d3255bfef95601890afd80709'
New sha1sum is : '58d9cdbd07af978efc5e91b8e7a66696280d3b1e'
"
"Apr 4, 2020 @ 16:43:18.229",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-18' checksum changed.
Old md5sum was: 'dca242a1798caa2a9ae6de537858dfe3'
New md5sum is : 'd837cb5171b76e59138e023111554c6b'
Old sha1sum was: 'c25d276ea70b377a2d82cd0b2ea1b00a07a517ca'
New sha1sum is : 'd43cd851ad83928abaf09042dc3d1bc05fccc844'
"
"Apr 4, 2020 @ 16:43:18.290",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: 'f82e4dca8fa64fec2f300e13070576d2'
New md5sum is : '2e3466c555e0a3bbbed2d233bddc4ce3'
Old sha1sum was: '6cb808077186c7f926dd8620d24565a1c25f2bed'
New sha1sum is : 'e2b0a3298a8bec9be4ded772855a7a1c8b7c3eff'
"
"Apr 4, 2020 @ 16:43:18.306",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-90-0-1' checksum changed.
Old md5sum was: '9f6b145dfd560fe21c8d05748910373f'
New md5sum is : '1eebefebc6b548d658597160f05ab29a'
Old sha1sum was: '1838fd4dbd6d85706ba7cced91d89cbd875eff11'
New sha1sum is : '1e7aee2c242d9485759621c66805b838ddb88f6b'
"
