"@timestamp",message,"log.file.path"
"May 26, 2020 @ 16:22:08.347","05/26-16:21:58.724406  [**] [1:2020716:2] ET POLICY Possible External IP Lookup ipinfo.io [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 172.16.2.2:49718 -> 216.239.36.21:80","/var/log/snort/alert.fast"
"May 26, 2020 @ 16:22:08.346","05/26/2020-16:21:58.923989  [**] [1:2020716:5] ET POLICY Possible External IP Lookup ipinfo.io [**] [Classification: Device Retrieving External IP Address Detected] [Priority: 2] {TCP} 172.16.2.2:49718 -> 216.239.36.21:80","/var/log/suricata/fast.log"
"May 26, 2020 @ 16:21:43.335","05/26-16:21:41.456169  [**] [1:2020716:2] ET POLICY Possible External IP Lookup ipinfo.io [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 172.16.2.2:49718 -> 216.239.36.21:80","/var/log/snort/alert.fast"
"May 26, 2020 @ 16:21:43.334","05/26/2020-16:21:41.801699  [**] [1:2020716:5] ET POLICY Possible External IP Lookup ipinfo.io [**] [Classification: Device Retrieving External IP Address Detected] [Priority: 2] {TCP} 172.16.2.2:49718 -> 216.239.36.21:80","/var/log/suricata/fast.log"
"May 26, 2020 @ 16:14:28.344","05/26-16:14:23.585943  [**] [1:2020716:2] ET POLICY Possible External IP Lookup ipinfo.io [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 172.16.2.2:49743 -> 216.239.38.21:80","/var/log/snort/alert.fast"
"May 26, 2020 @ 16:14:28.326","05/26/2020-16:14:23.748423  [**] [1:2020716:5] ET POLICY Possible External IP Lookup ipinfo.io [**] [Classification: Device Retrieving External IP Address Detected] [Priority: 2] {TCP} 172.16.2.2:49743 -> 216.239.38.21:80","/var/log/suricata/fast.log"
"May 26, 2020 @ 16:14:13.324","05/26/2020-16:14:07.747734  [**] [1:2020716:5] ET POLICY Possible External IP Lookup ipinfo.io [**] [Classification: Device Retrieving External IP Address Detected] [Priority: 2] {TCP} 172.16.2.2:49743 -> 216.239.38.21:80","/var/log/suricata/fast.log"
"May 26, 2020 @ 16:14:13.314","05/26-16:14:07.583782  [**] [1:2020716:2] ET POLICY Possible External IP Lookup ipinfo.io [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 172.16.2.2:49743 -> 216.239.38.21:80","/var/log/snort/alert.fast"
