timestamp,"rule.level","rule.description","full_log"
"Apr 6, 2020 @ 14:40:01.945",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:39:58.381",8,"Windows Audit Policy changed",
"Apr 6, 2020 @ 14:39:58.366",8,"Windows Audit Policy changed",
"Apr 6, 2020 @ 14:39:51.069",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: 'c4a796c4c34771728ed542fd1a758c62'
New md5sum is : '93c2f688a68bea92ca0316b543b731f9'
Old sha1sum was: '6390383b035997e115a3b000b6de17b37d1d41e4'
New sha1sum is : '562310fa74b7d8dc4147b75600dba6658f8f1bc8'
"
"Apr 6, 2020 @ 14:39:51.053",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: '2a59348304c018619f9ec9335491c9b3'
New md5sum is : 'a0df8d6e879d924da3288b2aa0b85114'
Old sha1sum was: '8b9b67bed7bf33200a32a2aebb4f71c9fae666aa'
New sha1sum is : '5b3369bb152c26552a26be399f0ea043686a36fe'
"
"Apr 6, 2020 @ 14:39:49.709",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Windows' checksum changed.
Old md5sum was: 'a94ecbd5eaeee72bd7ceca1faad96e30'
New md5sum is : '49574a9da5b73510ecb8125c7786d037'
Old sha1sum was: '269518a35686493cde84837b1668ea322e4d3d13'
New sha1sum is : 'fc3c9a4be6b806a974693af1dc528845db7631da'
"
"Apr 6, 2020 @ 14:39:39.131",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\TimeProviders\NtpClient' checksum changed.
Old md5sum was: '729d0877659e4797d3983fddb4576047'
New md5sum is : 'f7ede040f0bd50f2432cce9ba9720243'
Old sha1sum was: '109945df285ffff37e08eaab1d91e55cb59c26c8'
New sha1sum is : '01b3e39aa29d8c3fccfcaa1089c2a0890d3baaae'
"
"Apr 6, 2020 @ 14:39:39.100",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits' checksum changed.
Old md5sum was: '756dd006ccddd9a3acb123069bbf2b72'
New md5sum is : 'f65ebed619edcfc8fafe21f958215b53'
Old sha1sum was: 'ad92ac4e2be1d65930f4d4ed78dab3ae8577c070'
New sha1sum is : '493297f96d762981a98fbe5f8c5b5782c30b65aa'
"
"Apr 6, 2020 @ 14:39:39.084",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' checksum changed.
Old md5sum was: 'b0fa798f750e19e3ddbcd77f4321253f'
New md5sum is : '619d435b1dac461a9b0cfd3b48ee8f37'
Old sha1sum was: '759d4aa41127af628c11a6761e1f5d9bdf9412ed'
New sha1sum is : '95d0826303f42e23fada9a211bd9ea71de2d5c51'
"
"Apr 6, 2020 @ 14:39:38.288",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\VSS\Diag\VolSnap' checksum changed.
Old md5sum was: '4dc723cacf24668548d4626cd43a3355'
New md5sum is : 'a6934418b12b085c34f2dbaa9e9fa7a0'
Old sha1sum was: 'd81ab069195c4657ae5fbbccadc8597e7deedd15'
New sha1sum is : 'd9336cc746599b17846d9aa0e03da9cf70d1f3b7'
"
"Apr 6, 2020 @ 14:39:36.944",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Vid\Parameters\Wdf' checksum changed.
Old md5sum was: 'fcdb07c6a1ed824ae9455a64b2c0bb9e'
New md5sum is : '67c10bdce559c177fe0d89a2be194410'
Old sha1sum was: '584b2e2ecab9f7b853efa748028018d4698a2e87'
New sha1sum is : '4bac1afb15742d4fecc03d097a595ea33eed5376'
"
"Apr 6, 2020 @ 14:39:36.709",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\vdrvroot\Parameters\Wdf' checksum changed.
Old md5sum was: '320bb6f0c3f0f9ca6201376818440454'
New md5sum is : 'b132e65b4963a54ebee91bcab8914621'
Old sha1sum was: '6f0a84fcaed413ed440ea1ba902efe1c0d69c1ef'
New sha1sum is : '744e1fde2f3ae486cbff69a205e315e1c2f088e3'
"
"Apr 6, 2020 @ 14:39:35.975",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\USBXHCI\Parameters\Wdf' checksum changed.
Old md5sum was: '00f520782a4ab535f2911267c06438d9'
New md5sum is : 'f6949813e6b9d992278b95b7f209e047'
Old sha1sum was: 'bff3f6156b18df9a1ad0d484b5296bda6e699299'
New sha1sum is : '8db1fc943f83c30b4bc07f1ed394492c392e7722'
"
"Apr 6, 2020 @ 14:39:35.803",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\USBHUB3\Parameters\Wdf' checksum changed.
Old md5sum was: '8e9cef389829897cea6eca230b2aa97f'
New md5sum is : '342765c52f3fd7b50e5188adb30a0ede'
Old sha1sum was: 'cc8206466c207f0619ed289d336d1d965992e198'
New sha1sum is : '6d803f7cc7de0ae861402e45b8a1442595a4b544'
"
"Apr 6, 2020 @ 14:39:34.678",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\umbus\Parameters\Wdf' checksum changed.
Old md5sum was: 'fcdb07c6a1ed824ae9455a64b2c0bb9e'
New md5sum is : '67c10bdce559c177fe0d89a2be194410'
Old sha1sum was: '584b2e2ecab9f7b853efa748028018d4698a2e87'
New sha1sum is : '4bac1afb15742d4fecc03d097a595ea33eed5376'
"
"Apr 6, 2020 @ 14:39:32.819",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\{10cb9356-9dd8-4d03-959f-611e879a11a6}' checksum changed.
Old md5sum was: '05e13bdf1f9b7eb3a1f3de4ca253e89f'
New md5sum is : 'bb30a4865d0fe96a2d7b53b843e8fa0a'
Old sha1sum was: 'feaa05d6b5b4ac5a77156e9c4c2199f6a91a5917'
New sha1sum is : '98ca91600e4060c62dc2cc91468e632c4fdc3ef6'
"
"Apr 6, 2020 @ 14:39:29.226",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\srvnet\Parameters' checksum changed.
Old md5sum was: 'b7992042185fc6ec85e366e31893c993'
New md5sum is : '3d3a643354245020081ae89e531e5f43'
Old sha1sum was: '7da8cd2c012f8b55d1d5ce23f9ccdf45379c55ad'
New sha1sum is : '388ea0001ce3a9c23720ba87edb0e1b1510b7b4e'
"
"Apr 6, 2020 @ 14:39:27.506",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\RestrictedServices\AppIso\FirewallRules' checksum changed.
Old md5sum was: '646af30f5e20cdfc4f2c28c8e09ff02c'
New md5sum is : 'b6d3909639832341a734894d33f7c650'
Old sha1sum was: '218e9b8a8ae906e403df7e730096ad92886a7c1c'
New sha1sum is : 'f68965cba98e801d041406d6307c4869db9673a4'
"
"Apr 6, 2020 @ 14:39:26.787",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules' checksum changed.
Old md5sum was: 'b0d74b8b9da27bf097def0edef51976a'
New md5sum is : '1671bba53566796b1903734f3349f205'
Old sha1sum was: '85c2962a659d70880b1f863906002042ff403691'
New sha1sum is : '708d4d45b3b663519de7d168bcad8f1b3c5b0c7a'
"
"Apr 6, 2020 @ 14:39:26.726",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Epoch2' checksum changed.
Old md5sum was: '671078222c6f28f8a987ef233af7d5a5'
New md5sum is : '5de0ef21cee3c7b87f2fab30b8b06e2e'
Old sha1sum was: 'c62d69328b5a046dd8494e6a38df8074f8310102'
New sha1sum is : '95450da791d27d0a0e456663988211c24b30dbec'
"
"Apr 6, 2020 @ 14:39:26.710",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Epoch' checksum changed.
Old md5sum was: '73c63a01a46264ab050a9804c4648382'
New md5sum is : '67b63b70acc4cf09439b0064f5375078'
Old sha1sum was: '5ef9fab8416ce4431f5ef1872f0a97ec347b05b6'
New sha1sum is : 'd5ad2ffed235439932f7b3d18a9d28ffe83d1079'
"
"Apr 6, 2020 @ 14:39:22.308",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\rdyboost\Diagnostics' checksum changed.
Old md5sum was: 'fa742e572a0ab3ad838cdc36f548a2e7'
New md5sum is : 'b94f00fb649e58278413ddb218687776'
Old sha1sum was: '4bd92b98f3142283ddbfa0b8875cc0e446f8a651'
New sha1sum is : '4e632334dcf3fb5f87a71c66694dd9a1eb5fdbc7'
"
"Apr 6, 2020 @ 14:39:18.428",3,"Software Protection service scheduled successfully",
"Apr 6, 2020 @ 14:39:12.928",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NdisVirtualBus\Parameters\Wdf' checksum changed.
Old md5sum was: 'f906c668d9a9517e97299e9a3d5136fe'
New md5sum is : '91719a43ee1d9abe2cfbc1a69b82550c'
Old sha1sum was: '9861531a255dbfbd2c4e14a0673818cc18a6ee0d'
New sha1sum is : 'c9429e02ac797b3eeb56ad03665a88cc10366270'
"
"Apr 6, 2020 @ 14:39:11.396",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\mssmbios\Data' checksum changed.
Old md5sum was: '1e6e38e0129cb1178036ce2d2de63896'
New md5sum is : '56e9f0a7add3da7f007b812f71fed075'
Old sha1sum was: 'c69f3fa6abcfb59085cdd1e6fe3925b88bf1eb8a'
New sha1sum is : 'e34bbe63c9ca7e70f4e38fca2b5911ca2863966f'
"
"Apr 6, 2020 @ 14:39:11.162",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\msisadrv\Parameters\Wdf' checksum changed.
Old md5sum was: 'e8e23284dccb7ccee8c1c0f3d044aca0'
New md5sum is : 'b86fbb8c7365f0cd160fe1dd1a4e4de8'
Old sha1sum was: 'b6870b3d74893979c44b3336a301dce27cd672f1'
New sha1sum is : 'f01eba6dbe74107285007351b77304e1a19bc18e'
"
"Apr 6, 2020 @ 14:39:10.163",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\monitor\Parameters\Wdf' checksum changed.
Old md5sum was: '03aad37d2328a1b41c130ad79ee23de7'
New md5sum is : 'a22f4624fc957eb22f371c4f482524df'
Old sha1sum was: '8f018594a2fffb11ad549b80854873098cfd2b7a'
New sha1sum is : '432b869a738326466b200cc25be6d8307cfdc040'
"
"Apr 6, 2020 @ 14:39:05.868",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\LanmanServer\Parameters' checksum changed.
Old md5sum was: '578f6159462dbf35644b32173a6272dc'
New md5sum is : 'bad2d92e8c5f76681c68068d36d9f8de'
Old sha1sum was: '22d6c3d14484030a1223ac49b63a08d1adfb9f12'
New sha1sum is : 'a72e7b39c1d81678ec13d5d1bb05ce48683f8df2'
"
"Apr 6, 2020 @ 14:39:04.465",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\intelppm\Parameters\Wdf' checksum changed.
Old md5sum was: 'f906c668d9a9517e97299e9a3d5136fe'
New md5sum is : '91719a43ee1d9abe2cfbc1a69b82550c'
Old sha1sum was: '9861531a255dbfbd2c4e14a0673818cc18a6ee0d'
New sha1sum is : 'c9429e02ac797b3eeb56ad03665a88cc10366270'
"
"Apr 6, 2020 @ 14:39:01.788",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\HDAudBus\Parameters\Wdf' checksum changed.
Old md5sum was: '8c770c3cc590a59f4fec7b255faee1f2'
New md5sum is : '3879a39655c450780e274d024098bdb5'
Old sha1sum was: '327f74762b95e433a1a48c7b90680a4e0a0bce77'
New sha1sum is : '8d6f073ffa5ccb93f82238394c9d0c663088a3db'
"
"Apr 6, 2020 @ 14:39:01.177",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\gencounter\Parameters\Wdf' checksum changed.
Old md5sum was: 'f906c668d9a9517e97299e9a3d5136fe'
New md5sum is : '91719a43ee1d9abe2cfbc1a69b82550c'
Old sha1sum was: '9861531a255dbfbd2c4e14a0673818cc18a6ee0d'
New sha1sum is : 'c9429e02ac797b3eeb56ad03665a88cc10366270'
"
"Apr 6, 2020 @ 14:38:57.881",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\FDResPub\ServiceData' checksum changed.
Old md5sum was: 'ae9643074ec7a4ef81bb63a482e527c9'
New md5sum is : '8babdce3ab05d3473a80df927d06237f'
Old sha1sum was: 'bb90e1460f2a74046f7b573529a69b9faa6b3a52'
New sha1sum is : 'e353e522c03a6a1e27f132fba0a42bb0a83e4bf3'
"
"Apr 6, 2020 @ 14:38:54.224",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:38:50.318",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\EventLog\State' checksum changed.
Old md5sum was: '84f9da38aef52b57b0f950a9bf807f50'
New md5sum is : 'a397028e02aba031e9a6ca6ee2322c66'
Old sha1sum was: 'da7ce1f2de2fac02702a496feefad65ff9721121'
New sha1sum is : 'e1b5f87525d9b51c14a1dc0fb6f9183e950d4dd8'
"
"Apr 6, 2020 @ 14:38:43.974",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Dnscache\Parameters\Probe\{a957488a-bcc3-4136-8332-2c86058caa77}' checksum changed.
Old md5sum was: '62adcc7d0cabf983a9a5489de147c514'
New md5sum is : '903b8f5bbc25f56d3fac80d5240a6156'
Old sha1sum was: '223860dda4c8b799b031b85964a111ab435e0f6f'
New sha1sum is : '0acdfeec8685fdcaec51aa86a23df09cd0f828e6'
"
"Apr 6, 2020 @ 14:38:41.177",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\CompositeBus\Parameters\Wdf' checksum changed.
Old md5sum was: 'fcdb07c6a1ed824ae9455a64b2c0bb9e'
New md5sum is : '67c10bdce559c177fe0d89a2be194410'
Old sha1sum was: '584b2e2ecab9f7b853efa748028018d4698a2e87'
New sha1sum is : '4bac1afb15742d4fecc03d097a595ea33eed5376'
"
"Apr 6, 2020 @ 14:38:39.287",4,"Summary event of the report's signatures",
"Apr 6, 2020 @ 14:38:38.226",4,"Summary event of the report's signatures",
"Apr 6, 2020 @ 14:38:35.599",4,"Summary event of the report's signatures",
"Apr 6, 2020 @ 14:38:34.974",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BITS' checksum changed.
Old md5sum was: '6a4fdf3a9f7dc36fc03599f720d484d3'
New md5sum is : '775174ea9bf25c40ba381ca284d7511d'
Old sha1sum was: '9f469b80d1166a11ab0299760c6cb444ef555670'
New sha1sum is : 'eab80f5279cedff3dd227a62f8828aa899a27475'
"
"Apr 6, 2020 @ 14:38:34.477",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:38:33.897",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-90-0-2' checksum changed.
Old md5sum was: '41f836f91bdb9b4b1a6dd53b45a586c1'
New md5sum is : '60dd34472b7c4b4733f08655c4f60df2'
Old sha1sum was: 'd88322091bdfa95dd00b43c94043be94669c10d6'
New sha1sum is : '525a1f729b820c37784c2e975a559deaf184ebb7'
"
"Apr 6, 2020 @ 14:38:33.880",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-90-0-1' checksum changed.
Old md5sum was: 'd13ad6eb1737d32be81bf0fbad2ea850'
New md5sum is : '9f6b145dfd560fe21c8d05748910373f'
Old sha1sum was: 'd99b8a072444d528506f4a8568712fe5ddf19d83'
New sha1sum is : '1838fd4dbd6d85706ba7cced91d89cbd875eff11'
"
"Apr 6, 2020 @ 14:38:33.865",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: 'c3d3a1d8a57a3e55516e095343ffc85e'
New md5sum is : 'c07851f8f2e30eb65757347b948170ba'
Old sha1sum was: '3d8f8d08699f73356fd80de7e59de1c352109663'
New sha1sum is : '8b3f116aaee6cbd1dd5d8bf234c4f02b0a5c3e60'
"
"Apr 6, 2020 @ 14:38:33.833",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-18' checksum changed.
Old md5sum was: '9db7d225f461184a37dd7daf55bd9455'
New md5sum is : 'dca242a1798caa2a9ae6de537858dfe3'
Old sha1sum was: '6ad64ec507008882176ba696c556974a828a8fce'
New sha1sum is : 'c25d276ea70b377a2d82cd0b2ea1b00a07a517ca'
"
"Apr 6, 2020 @ 14:38:33.367",4,"Summary event of the report's signatures",
"Apr 6, 2020 @ 14:38:19.052",3,"Windows User Logoff",
"Apr 6, 2020 @ 14:38:19.007",3,"IIS NetworkCleartext Logon Success",
"Apr 6, 2020 @ 14:38:17.364",3,"Windows User Logoff",
"Apr 6, 2020 @ 14:38:17.334",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:38:16.990",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:37:54.525",3,"Windows User Logoff",
"Apr 6, 2020 @ 14:37:54.478",3,"Windows User Logoff",
"Apr 6, 2020 @ 14:37:51.171",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:37:51.151",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:37:51.127",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:37:51.072",3,"Windows User Logoff",
"Apr 6, 2020 @ 14:37:50.027",4,"Summary event of the report's signatures",
"Apr 6, 2020 @ 14:37:48.807",9,"Windows Application error event",
"Apr 6, 2020 @ 14:37:34.197",3,"Windows User Logoff",
"Apr 6, 2020 @ 14:37:34.165",3,"IIS NetworkCleartext Logon Success",
"Apr 6, 2020 @ 14:37:32.182",3,"Windows User Logoff",
"Apr 6, 2020 @ 14:37:32.136",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:37:32.025",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:36:53.087",3,"Windows User Logoff",
"Apr 6, 2020 @ 14:36:51.869",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:36:51.858",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:36:51.807",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:36:51.776",3,"Windows User Logoff",
"Apr 6, 2020 @ 14:36:51.759",3,"Windows User Logoff",
"Apr 6, 2020 @ 14:36:51.743",3,"Windows User Logoff",
"Apr 6, 2020 @ 14:36:50.665",4,"Summary event of the report's signatures",
"Apr 6, 2020 @ 14:36:49.665",9,"Windows Application error event",
"Apr 6, 2020 @ 14:35:53.401",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:35:53.385",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:35:53.361",3,"Windows Logon Success",
"Apr 6, 2020 @ 14:35:53.329",3,"Windows User Logoff",
"Apr 6, 2020 @ 14:35:53.314",3,"Windows User Logoff",
"Apr 6, 2020 @ 14:35:53.276",3,"Windows User Logoff",
"Apr 6, 2020 @ 14:35:52.055",4,"Summary event of the report's signatures",
"Apr 6, 2020 @ 14:35:50.307",9,"Windows Application error event",
"Apr 6, 2020 @ 14:35:49.352",5,"File added to the system.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\5\S-1-5-21-438079597-2123118846-2669748851-1001' was added.
"
"Apr 6, 2020 @ 14:35:49.336",5,"File added to the system.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\4\S-1-5-21-438079597-2123118846-2669748851-1001' was added.
"
"Apr 6, 2020 @ 14:35:46.450",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_5eaf9d' was added.
"
"Apr 6, 2020 @ 14:35:46.414",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_5eaf9d\Security' was added.
"
"Apr 6, 2020 @ 14:35:46.399",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_4cf759' was added.
"
"Apr 6, 2020 @ 14:35:46.383",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_4cf759\Security' was added.
"
"Apr 6, 2020 @ 14:35:45.767",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_36ceed' was added.
"
"Apr 6, 2020 @ 14:35:45.737",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_36ceed\Security' was added.
"
"Apr 6, 2020 @ 14:35:45.588",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_2c34c' was added.
"
"Apr 6, 2020 @ 14:35:45.562",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_2c34c\Security' was added.
"
"Apr 6, 2020 @ 14:35:45.422",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_163a67' was added.
"
"Apr 6, 2020 @ 14:35:45.256",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_163a67\Security' was added.
"
"Apr 6, 2020 @ 14:35:38.416",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits' checksum changed.
Old md5sum was: 'a45d92c5da48b32074d593f445bd1d73'
New md5sum is : '756dd006ccddd9a3acb123069bbf2b72'
Old sha1sum was: '7ad132c3e4354ce6748313a2eaf72d08a7d0ac2a'
New sha1sum is : 'ad92ac4e2be1d65930f4d4ed78dab3ae8577c070'
"
"Apr 6, 2020 @ 14:35:38.382",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' checksum changed.
Old md5sum was: 'e18c1ccf736dc8f14e0a245e1f699739'
New md5sum is : 'b0fa798f750e19e3ddbcd77f4321253f'
Old sha1sum was: 'f3d9e58c5181cea0e86c13a904867deadeab2b49'
New sha1sum is : '759d4aa41127af628c11a6761e1f5d9bdf9412ed'
"
