timestamp,"rule.level","rule.description","full_log"
"Apr 7, 2020 @ 09:31:14.194",3,"Service startup type was changed",
"Apr 7, 2020 @ 09:31:13.315",5,"SCA summary: Benchmark for Windows audit: Score less than 80% (68)",
"Apr 7, 2020 @ 09:31:09.787",5,"Benchmark for Windows audit: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled': Status changed from failed to 'not applicable'",
"Apr 7, 2020 @ 09:30:01.488",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '93c2f688a68bea92ca0316b543b731f9'
New md5sum is : '7e38d7d48acba553e9b927a185580478'
Old sha1sum was: '562310fa74b7d8dc4147b75600dba6658f8f1bc8'
New sha1sum is : '93c7740e06e3ad95b64cba0c84950355bbe16095'
"
"Apr 7, 2020 @ 09:30:01.472",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: 'a0df8d6e879d924da3288b2aa0b85114'
New md5sum is : 'e4d19d51bb57f6bbddefe526ef7a7eae'
Old sha1sum was: '5b3369bb152c26552a26be399f0ea043686a36fe'
New sha1sum is : '75b5499585597cca71a429fe77e729953593c698'
"
"Apr 7, 2020 @ 09:29:58.286",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_2a22d' was added.
"
"Apr 7, 2020 @ 09:29:58.269",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_2a22d\Security' was added.
"
"Apr 7, 2020 @ 09:29:50.926",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\TimeProviders\NtpClient' checksum changed.
Old md5sum was: 'f7ede040f0bd50f2432cce9ba9720243'
New md5sum is : '729d0877659e4797d3983fddb4576047'
Old sha1sum was: '01b3e39aa29d8c3fccfcaa1089c2a0890d3baaae'
New sha1sum is : '109945df285ffff37e08eaab1d91e55cb59c26c8'
"
"Apr 7, 2020 @ 09:29:50.895",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits' checksum changed.
Old md5sum was: '40f25468dcd84290dd7a261b9ebe519b'
New md5sum is : 'b7a68a188bc32e74c5681ba9afece236'
Old sha1sum was: '59cbd60494640ca425146424a80456e3bf10847a'
New sha1sum is : 'a36f4c5a82f40650029849ab2f8acf8e87dbcdc2'
"
"Apr 7, 2020 @ 09:29:50.879",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' checksum changed.
Old md5sum was: '61a910cd0eb02db74956a0b4e2c32a83'
New md5sum is : '44a0c8dbeec3602d58be41d6d80c10ca'
Old sha1sum was: 'cd9fc634c8dc13de4676ed7f923cc356b262be96'
New sha1sum is : 'b8543c052715aee60c6b66b6084735a08bcbedae'
"
