timestamp,"rule.level","rule.description","full_log"
"Apr 4, 2020 @ 13:48:11.472",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\{10cb9356-9dd8-4d03-959f-611e879a11a6}' checksum changed.
Old md5sum was: '1ff9d2bcd158e032084b85e368bbbc93'
New md5sum is : 'c4a30b975b2c0786f6f63a3650f75cdc'
Old sha1sum was: '654be9998073db5fb7eb1b02ce093e6875191b0a'
New sha1sum is : 'f72f7e82670f1f5b204bdea42f03eaf88a1be25a'
"
"Apr 4, 2020 @ 13:48:04.316",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\RestrictedServices\AppIso\FirewallRules' checksum changed.
Old md5sum was: '59c3dc20f6ca7bf5d3e4497b0fbb523a'
New md5sum is : 'd40daa86f02d44c2784d12f3fcc3ba70'
Old sha1sum was: '21fd5eb9f4366c737be868e4d053798ae111f329'
New sha1sum is : 'e7f83fee3e29992230a88e8c874f2286d848ca41'
"
"Apr 4, 2020 @ 13:48:03.895",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules' checksum changed.
Old md5sum was: 'd4e36f3a15fd44265b8465f9557ea88d'
New md5sum is : '3b8f384faddd1b2b278532e07f4eba7c'
Old sha1sum was: '452ac62117c54d53212a78a079263bb0875839f1'
New sha1sum is : '4fc48b1760cc5d5d048ac83bfe6b5f988ee917b5'
"
"Apr 4, 2020 @ 13:48:03.832",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Epoch' checksum changed.
Old md5sum was: 'b53bf2f3f61682c350be645945192116'
New md5sum is : 'd986956d161956f4b141437fa08b93c0'
Old sha1sum was: 'b5f04a7f7762c384b95b4d56b16e28e5cc863241'
New sha1sum is : '5233ab213dffc9768aad8b2621a3d7286c52d461'
"
"Apr 4, 2020 @ 13:48:03.191",3,"Software Protection service scheduled successfully",
"Apr 4, 2020 @ 13:47:57.178",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PrintWorkflowUserSvc_29d4d' was added.
"
"Apr 4, 2020 @ 13:47:57.158",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PrintWorkflowUserSvc_29d4d\Security' was added.
"
"Apr 4, 2020 @ 13:47:56.582",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PimIndexMaintenanceSvc_29d4d' was added.
"
"Apr 4, 2020 @ 13:47:56.566",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PimIndexMaintenanceSvc_29d4d\Security' was added.
"
"Apr 4, 2020 @ 13:47:54.801",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\OneSyncSvc_29d4d' was added.
"
