timestamp,"rule.level","rule.description","full_log"
"Apr 6, 2020 @ 08:44:28.387",5,"SCA summary: Benchmark for Windows audit: Score less than 80% (68)",
"Apr 6, 2020 @ 08:44:25.012",5,"Benchmark for Windows audit: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled': Status changed from failed to 'not applicable'",
"Apr 6, 2020 @ 08:43:17.166",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: '93c2f688a68bea92ca0316b543b731f9'
New md5sum is : 'b0b97338469d0e4b1f413fb4b548b967'
Old sha1sum was: '562310fa74b7d8dc4147b75600dba6658f8f1bc8'
New sha1sum is : '7ccab140b78da4c4fffa98afdc0dad438217f06e'
"
"Apr 6, 2020 @ 08:43:17.151",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: 'a0df8d6e879d924da3288b2aa0b85114'
New md5sum is : '8084f544981f665891455fa614c559c8'
Old sha1sum was: '5b3369bb152c26552a26be399f0ea043686a36fe'
New sha1sum is : '6879876f2270cbe6cf155dc44930db270fbb0d41'
"
"Apr 6, 2020 @ 08:43:13.683",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_2af29' was added.
"
"Apr 6, 2020 @ 08:43:13.667",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_2af29\Security' was added.
"
"Apr 6, 2020 @ 08:43:06.824",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\TimeProviders\NtpClient' checksum changed.
Old md5sum was: 'f7ede040f0bd50f2432cce9ba9720243'
New md5sum is : '729d0877659e4797d3983fddb4576047'
Old sha1sum was: '01b3e39aa29d8c3fccfcaa1089c2a0890d3baaae'
New sha1sum is : '109945df285ffff37e08eaab1d91e55cb59c26c8'
"
"Apr 6, 2020 @ 08:43:06.776",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits' checksum changed.
Old md5sum was: 'c0405481b74cf6174a880af1ccc1d4b0'
New md5sum is : 'a95a4c0a8e5f7b405ff8eb5c4b437bc5'
Old sha1sum was: 'b7d4bb4d3cde4fa21584725503c78a8e4d7d6788'
New sha1sum is : 'da15a1a2d8cc2b5edf6ac520096edd2d505a36a6'
"
"Apr 6, 2020 @ 08:43:06.760",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' checksum changed.
Old md5sum was: '3bed6b4b8101da842bb6afe04a8271c2'
New md5sum is : 'eb74d772fb247effed22679195324ed4'
Old sha1sum was: '6bcfa900864cb27898f9c3bf26b53fb3b0eb9d2c'
New sha1sum is : 'ede60f5480a0a2f75b669872a6b32a27d174730b'
"
"Apr 6, 2020 @ 08:43:06.027",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\VSS\Diag\VolSnap' checksum changed.
Old md5sum was: 'a6934418b12b085c34f2dbaa9e9fa7a0'
New md5sum is : '36e6a5b67014cb81a360a5f2a9e804df'
Old sha1sum was: 'd9336cc746599b17846d9aa0e03da9cf70d1f3b7'
New sha1sum is : 'ccf4c3faa9df7387844fd44d8215f29ce5a05d82'
"
"Apr 6, 2020 @ 08:43:04.682",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Vid\Parameters\Wdf' checksum changed.
Old md5sum was: '67c10bdce559c177fe0d89a2be194410'
New md5sum is : '5b06acdc8ed6732e0719fab302999091'
Old sha1sum was: '4bac1afb15742d4fecc03d097a595ea33eed5376'
New sha1sum is : 'a4fa3b6743a44afa0d4ad52e2b3d1fc14c834bde'
"
"Apr 6, 2020 @ 08:43:04.432",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\vdrvroot\Parameters\Wdf' checksum changed.
Old md5sum was: 'b132e65b4963a54ebee91bcab8914621'
New md5sum is : '61f3946e9ba274598130f5d593a8ba6d'
Old sha1sum was: '744e1fde2f3ae486cbff69a205e315e1c2f088e3'
New sha1sum is : '728202215cd7499d863da7b762352efe5c25a4af'
"
"Apr 6, 2020 @ 08:43:03.869",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_2af29' was added.
"
"Apr 6, 2020 @ 08:43:03.854",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_2af29\Security' was added.
"
"Apr 6, 2020 @ 08:43:03.729",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\USBXHCI\Parameters\Wdf' checksum changed.
Old md5sum was: 'f6949813e6b9d992278b95b7f209e047'
New md5sum is : '13761060e702fe0b2aa32f46d7d75863'
Old sha1sum was: '8db1fc943f83c30b4bc07f1ed394492c392e7722'
New sha1sum is : '1ad862be5c095dacfc993e3834d975af6909452f'
"
"Apr 6, 2020 @ 08:43:03.510",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\USBHUB3\Parameters\Wdf' checksum changed.
Old md5sum was: '342765c52f3fd7b50e5188adb30a0ede'
New md5sum is : 'a831ea2c98f083cbaf2c24795ba188c6'
Old sha1sum was: '6d803f7cc7de0ae861402e45b8a1442595a4b544'
New sha1sum is : '6d6612e0d9bdeb41b67a06af336d0f8a6571cd4d'
"
"Apr 6, 2020 @ 08:43:03.088",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_2af29' was added.
"
"Apr 6, 2020 @ 08:43:03.072",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_2af29\Security' was added.
"
