timestamp,"rule.level","rule.description","full_log"
"Apr 4, 2020 @ 15:21:58.873",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon' checksum changed.
Old md5sum was: 'a42aba8bfc3fa20348a9721ae0ca3460'
New md5sum is : '192c78418fb597c9cf6128a0792f79aa'
Old sha1sum was: 'e9eb87c9f46d8fb813cc6fdd1b8c16b59b46ad4f'
New sha1sum is : 'c9aa48747848a82c29d96f119a4b1209deec6497'
"
"Apr 4, 2020 @ 15:21:58.855",7,"Integrity checksum changed.","File '[x64] HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: 'b0509f8ae7589a36b0e922ea55370a2a'
New md5sum is : 'd65ee627cdc29661ff2de1939cdd428b'
Old sha1sum was: '7c173f25809414b691ff85859d444a8615734f04'
New sha1sum is : '115611e9c69eb0bb2ce1573caa4b9500ca07e3ee'
"
"Apr 4, 2020 @ 15:21:55.371",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_2b7cd' was added.
"
"Apr 4, 2020 @ 15:21:55.354",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_2b7cd\Security' was added.
"
"Apr 4, 2020 @ 15:21:48.385",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\TimeProviders\NtpClient' checksum changed.
Old md5sum was: '0537eac2a8f888ccfe2ff7c9cb88eba4'
New md5sum is : 'f7ede040f0bd50f2432cce9ba9720243'
Old sha1sum was: '011c9cae6591b6ed5bc8cf0ad3eebcd91c70322c'
New sha1sum is : '01b3e39aa29d8c3fccfcaa1089c2a0890d3baaae'
"
"Apr 4, 2020 @ 15:21:48.356",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits' checksum changed.
Old md5sum was: 'df9be7629f6b4bb426436fddfdda3e00'
New md5sum is : 'b919215c1cb7c2c9b5ca2a5dcb9cdede'
Old sha1sum was: '27944b26d8cfd2e43728eb7197de1c8f824a233d'
New sha1sum is : 'b64c8005bb43c0f56d3b57f7a3664059577f794e'
"
"Apr 4, 2020 @ 15:21:48.325",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' checksum changed.
Old md5sum was: 'eef4559e7fd1bceae06925bdc22dd84b'
New md5sum is : 'c6fd10eeaa5117c25b87d0cf58c03329'
Old sha1sum was: '5e9ea0459e03ac8fca6d6a6e915584a6d0419d0a'
New sha1sum is : 'c017e56700c44e16721f94431d25c19503937da0'
"
"Apr 4, 2020 @ 15:21:47.901",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\Config' checksum changed.
Old md5sum was: '1a84f72dabd954f40c6c8b3797efe69e'
New md5sum is : '16f1307dee1a5c080b4690a068293d01'
Old sha1sum was: 'b71e6aac68f5b97f000e7e4cb61948fc0911b20c'
New sha1sum is : '2556215c3fc2ed705fcd1350dae945c7a9be0a7c'
"
"Apr 4, 2020 @ 15:21:47.683",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\VSS\Diag\VolSnap' checksum changed.
Old md5sum was: '70803ff74c6137bb9c30faef6663c67e'
New md5sum is : '1f5f47a432707b7a9ceb822363299e78'
Old sha1sum was: '6fcc6a87284459c8396289b99fe1d19b455650f3'
New sha1sum is : '769c33f5c4fca3518398159bd417f442803c5d9b'
"
"Apr 4, 2020 @ 15:21:46.592",3,"Windows Logon Success",
