"@timestamp",message,"log.file.path"
"May 28, 2020 @ 13:22:51.784","05/28/2020-13:22:51.195145  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49718 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:22:48.758","05/28/2020-13:22:45.617551  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49717 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:22:46.926","05/28-13:22:45.288667  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49717 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:22:43.924","05/28-13:22:39.543029  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49715 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:22:41.757","05/28/2020-13:22:39.922313  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49715 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:22:36.922","05/28-13:22:33.567205  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49714 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:22:34.754","05/28/2020-13:22:34.222391  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49714 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:22:31.752","05/28/2020-13:22:28.042449  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49712 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:22:31.752","05/28/2020-13:22:28.286183  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49713 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:22:29.920","05/28-13:22:28.030603  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49713 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:22:16.748","05/28/2020-13:22:14.146299  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49709 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:22:14.916","05/28-13:22:13.543414  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49709 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:22:11.895","05/28-13:22:07.977105  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49705 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:22:09.743","05/28/2020-13:22:08.271426  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49705 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:22:04.892","05/28-13:22:02.238412  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49704 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:22:02.740","05/28/2020-13:22:02.533789  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49704 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:21:59.730","05/28/2020-13:21:56.942324  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49703 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:21:57.800","05/28-13:21:56.682811  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49703 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:21:54.797","05/28-13:21:50.692100  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49701 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:21:52.728","05/28/2020-13:21:45.391479  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49700 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:21:52.728","05/28/2020-13:21:51.385442  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49701 -> 58.158.177.102:80","/var/log/suricata/fast.log"
