timestamp,"rule.level","rule.description","full_log"
"Apr 6, 2020 @ 10:18:49.646",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PrintWorkflowUserSvc_2a40f' was added.
"
"Apr 6, 2020 @ 10:18:49.631",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PrintWorkflowUserSvc_2a40f\Security' was added.
"
"Apr 6, 2020 @ 10:18:48.973",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PimIndexMaintenanceSvc_2a40f' was added.
"
"Apr 6, 2020 @ 10:18:48.943",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PimIndexMaintenanceSvc_2a40f\Security' was added.
"
"Apr 6, 2020 @ 10:18:47.193",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\OneSyncSvc_2a40f' was added.
"
"Apr 6, 2020 @ 10:18:47.176",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\OneSyncSvc_2a40f\Security' was added.
"
"Apr 6, 2020 @ 10:18:44.567",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NdisVirtualBus\Parameters\Wdf' checksum changed.
Old md5sum was: '91719a43ee1d9abe2cfbc1a69b82550c'
New md5sum is : 'a2b4ff111ec3c70d9244f2765b6f83b7'
Old sha1sum was: 'c9429e02ac797b3eeb56ad03665a88cc10366270'
New sha1sum is : '55d34d80a86178f211d54007087f0fab2f5ea0e7'
"
"Apr 6, 2020 @ 10:18:41.458",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\msisadrv\Parameters\Wdf' checksum changed.
Old md5sum was: 'b86fbb8c7365f0cd160fe1dd1a4e4de8'
New md5sum is : '01a985bca6ad7246ea3a7ca8195d93e9'
Old sha1sum was: 'f01eba6dbe74107285007351b77304e1a19bc18e'
New sha1sum is : '8010a779860390583ffbf9af8ead75fdfb5c8385'
"
"Apr 6, 2020 @ 10:18:40.661",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\monitor\Parameters\Wdf' checksum changed.
Old md5sum was: 'a22f4624fc957eb22f371c4f482524df'
New md5sum is : 'fde4d09149bdcdc70349bc82e0dd2af6'
Old sha1sum was: '432b869a738326466b200cc25be6d8307cfdc040'
New sha1sum is : '10cf5ba179fe268341aff35b424f90f1f18f255f'
"
"Apr 6, 2020 @ 10:18:40.504",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\MessagingService_2a40f' was added.
"
"Apr 6, 2020 @ 10:18:40.477",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\MessagingService_2a40f\TriggerInfo\0' was added.
"
"Apr 6, 2020 @ 10:18:40.476",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\MessagingService_2a40f\Security' was added.
"
"Apr 6, 2020 @ 10:18:36.396",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\LanmanServer\Parameters' checksum changed.
Old md5sum was: 'bad2d92e8c5f76681c68068d36d9f8de'
New md5sum is : '63b2faa8277773a4b13b16a3c66bf06c'
Old sha1sum was: 'a72e7b39c1d81678ec13d5d1bb05ce48683f8df2'
New sha1sum is : '8775a9f7233f640e824bb5f5b189261e69d2c90e'
"
