timestamp,"rule.level","rule.description","full_log"
"Apr 4, 2020 @ 12:26:41.398",3,"Windows Workstation Logon Success",
"Apr 4, 2020 @ 12:26:41.383",3,"Windows Workstation Logon Success",
"Apr 4, 2020 @ 12:26:35.987",5,"License Activation (slui.exe) failed",
"Apr 4, 2020 @ 12:26:33.187",3,"The Windows Search Service started",
"Apr 4, 2020 @ 12:26:33.013",3,"Windows Logon Success",
"Apr 4, 2020 @ 12:26:32.961",3,"Windows Logon Success",
"Apr 4, 2020 @ 12:26:32.727",3,"The database engine attached a database",
"Apr 4, 2020 @ 12:26:32.487",3,"The database engine is starting a new instance",
"Apr 4, 2020 @ 12:26:29.781",3,"Windows Logon Success",
"Apr 4, 2020 @ 12:26:29.714",5,"SessionEnv was unavailable to handle a notification event",
"Apr 4, 2020 @ 12:26:29.504",3,"Windows Workstation Logon Success",
"Apr 4, 2020 @ 12:26:29.480",3,"Windows Workstation Logon Success",
"Apr 4, 2020 @ 12:26:28.415",7,"SessionEnv was unavailable to handle a critical notification event",
"Apr 4, 2020 @ 12:26:27.068",3,"Ossec agent started.","ossec: Agent started: 'windows-10->any'."
"Apr 4, 2020 @ 12:25:51.802",5,"SessionEnv was unavailable to handle a notification event",
"Apr 4, 2020 @ 12:25:51.779",5,"WSearch was unavailable to handle a notification event",
"Apr 4, 2020 @ 12:25:49.339",5,"Windows System error event",
"Apr 4, 2020 @ 12:25:49.292",5,"Windows System error event",
"Apr 4, 2020 @ 12:24:37.133",3,"Windows Logon Success",
"Apr 4, 2020 @ 12:24:32.619",3,"Service startup type was changed",
"Apr 4, 2020 @ 12:24:15.207",3,"Software Protection service scheduled successfully",
"Apr 4, 2020 @ 12:22:50.724",3,"Service startup type was changed",
"Apr 4, 2020 @ 12:21:11.319",5,"Windows System error event",
"Apr 4, 2020 @ 12:21:06.319",3,"Windows Logon Success",
"Apr 4, 2020 @ 12:21:06.258",4,"Summary event of the report's signatures",
"Apr 4, 2020 @ 12:21:05.398",4,"Summary event of the report's signatures",
"Apr 4, 2020 @ 12:20:44.647",3,"Service startup type was changed",
"Apr 4, 2020 @ 12:20:43.179",3,"The database engine attached a database",
"Apr 4, 2020 @ 12:20:43.096",3,"The database engine has completed recovery steps",
"Apr 4, 2020 @ 12:20:43.038",3,"The database engine is replaying log file C:\Winnt\system32\wins\j50.log",
"Apr 4, 2020 @ 12:20:43.009",3,"The database engine is initiating recovery steps",
"Apr 4, 2020 @ 12:20:42.987",3,"The database engine is starting a new instance",
"Apr 4, 2020 @ 12:20:36.866",3,"Windows Logon Success",
"Apr 4, 2020 @ 12:20:35.696",3,"Windows Logon Success",
"Apr 4, 2020 @ 12:20:35.663",3,"Windows Logon Success",
"Apr 4, 2020 @ 12:20:29.882",3,"Windows User Logoff",
"Apr 4, 2020 @ 12:20:29.835",3,"IIS NetworkCleartext Logon Success",
"Apr 4, 2020 @ 12:20:25.991",3,"Windows User Logoff",
"Apr 4, 2020 @ 12:20:25.961",3,"Windows Logon Success",
"Apr 4, 2020 @ 12:20:25.897",3,"Windows Logon Success",
"Apr 4, 2020 @ 12:18:15.967",3,"Windows Logon Success",
